gene	pvalue	FC	fdr
ENTPD8	1	1.159320470216909	1.0
ENTR1	1	0.9961371823142575	1.0
ENY2	1	0.9984960885786613	1.0
EOGT	1	1.094133236087597	1.0
EOMES	0.028767845493267215	1.1963051396914264	0.1910159979498719
EP300	1	0.9156414616783582	1.0
EP400	1	1.0330271027263147	1.0
EPAS1	1.0182771109056515e-06	1.3005506991833147	1.7913484117713788e-05
EPB41	1	0.996791629662136	1.0
EPB41L1	1	1.0937783703912944	1.0
EPB41L2	1	1.0278622216265052	1.0
EPB41L3	0.02133416321905195	0.6376720789614119	0.1457025292581839
EPB41L4A	1	1.0488818897266923	1.0
EPB41L4B	5.9167177980989726e-05	1.270199269144769	0.0006965797376915753
EPB41L5	1	1.090235696995421	1.0
EPB42	1	1.0278158265733872	1.0
